id,name,family,order,genus,calories,fat,sugar,carbohydrates,protein
1,Banana,Musaceae,Zingiberales,Musa,96,0.2,17.2,22,1
2,Orange,Rutaceae,Sapindales,Citrus,43,0.2,8.2,8.3,1
3,Strawberry,Rosaceae,Rosales,Fragaria,29,0.4,5.4,5.5,0.8
4,Pear,Rosaceae,Rosales,Pyrus,57,0.1,10,15,0.4
5,Tomato,Solanaceae,Solanales,Solanum,74,0.2,2.6,3.9,0.9
6,Apple,Rosaceae,Rosales,Malus,52,0.4,10.3,11.4,0.3
9,Cherry,Rosaceae,Rosales,Prunus,50,0.3,8,12,1
10,Pineapple,Bromeliaceae,Poales,Ananas,50,0.12,9.85,13.12,0.54
23,Raspberry,Rosaceae,Rosales,Rubus,53,0.7,4.4,12,1.2
25,Watermelon,Cucurbitaceae,Cucurbitales,Citrullus,30,0.2,6,8,0.6
26,Lemon,Rutaceae,Sapindales,Citrus,29,0.3,2.5,9,1.1
27,Mango,Anacardiaceae,Sapindales,Mangifera,60,0.38,13.7,15,0.82
33,Blueberry,Rosaceae,Rosales,Fragaria,29,0.4,5.4,5.5,0
35,Apricot,Rosaceae,Rosales,Prunus,15,0.1,3.2,3.9,0.5
37,Guava,Myrtaceae,Myrtales,Psidium,68,1,9,14,2.6
41,Melon,Cucurbitaceae,Cucurbitaceae,Cucumis,34,0,8,8,0
42,Papaya,Caricaceae,Brassicales,Carica,39,0.3,4.4,5.8,0.5
44,Lime,Rutaceae,Sapindales,Citrus,25,0.1,1.7,8.4,0.3
52,Persimmon,Ebenaceae,Rosales,Diospyros,81,0,18,18,0
60,Durian,Malvaceae,Malvales,Durio,147,5.3,6.75,27.1,1.5
64,Blackberry,Rosaceae,Rosales,Rubus,40,0.4,4.5,9,1.3
65,Lingonberry,Ericaceae,Ericales,Vaccinium,50,0.34,5.74,11.3,0.75
66,Kiwi,Actinidiaceae,Struthioniformes,Apteryx,61,0.5,9,15,1.1
67,Lychee,Sapindaceae,Sapindales,Litchi,66,0.44,15,17,0.8
68,Fig,Moraceae,Rosales,Ficus,74,0.3,16,19,0.8
69,Gooseberry,Grossulariaceae,Saxifragales,Ribes,44,0.6,0,10,0.9
70,Passionfruit,Passifloraceae,Malpighiales,Passiflora,97,0.7,11.2,22.4,2.2
71,Plum,Rosaceae,Rosales,Prunus,46,0.28,9.92,11.4,0.7
72,GreenApple,Rosaceae,Rosales,Malus,21,0.1,6.4,3.1,0.4
76,Feijoa,Myrtaceae,Myrtoideae,Sellowiana,44,0.4,3,8,0.6
77,Tangerine,Rutaceae,Sapindales,Citrus,45,0.4,9.1,8.3,0
78,Pitahaya,Cactaceae,Caryophyllales,Cactaceae,36,0.4,3,7,1
79,Pomegranate,Lythraceae,Myrtales,Punica,83,1.2,13.7,18.7,1.7
80,Dragonfruit,Cactaceae,Caryophyllales,Selenicereus,60,1.5,8,9,9
81,Grape,Vitaceae,Vitales,Vitis,69,0.16,16,18.1,0.72
82,Morus,Moraceae,Rosales,Morus,43,0.39,8.1,9.8,1.44
84,Avocado,Lauraceae,Laurales,Persea,160,14.66,0.66,8.53,2
85,Kiwifruit,Actinidiaceae,Ericales,Actinidia,61,0.5,8.9,14.6,1.14
86,Peach,Rosaceae,Rosales,Prunus,39,0.25,8.4,9.5,0.9
87,Cranberry,Ericaceae,Ericales,Vaccinium,46,0.1,4,12.2,0.4
94,Jackfruit,Moraceae,Rosales,Artocarpus,95,0,19.1,23.2,1.72
95,Horned Melon,Cucurbitaceae,Cucurbitales,Cucumis,44,1.26,0.5,7.56,1.78
96,Hazelnut,Betulaceae,Fagales,Corylus,628,61,4.3,17,15
98,Pomelo,Rutaceae,Sapindales,Citrus,37,0,8.5,9.67,0.82
99,Mangosteen,Clusiaceae,Malpighiales,Garcinia,73,0.58,16.11,17.91,0.41
100,Pumpkin,Cucurbitaceae,Cucurbitales,Cucurbita,25,0.3,3.3,4.6,1.1
101,Japanese Persimmon, Ebenaceae, Ericales,Diospyros,70,0.2,13,19,0.6
103,Annona,Annonaceae,Rosales,Annonas,92,0.29,3.4,19.1,1.5
104,Ceylon Gooseberry,Salicaceae,Malpighiales,Dovyalis,47,0.3,8.1,9.6,1.2